   282: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   283: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   284: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   285: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   286: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   287: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   288: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   289: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   290: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   291: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   292: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   293: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   294: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   295: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   296: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   297: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   298: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   299: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   300: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   301: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   302: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   303: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   304: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   305: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   306: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   307: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   308: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   309: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   310: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   311: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   312: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   313: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   314: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   315: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   316: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   317: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   318: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   319: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   320: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   321: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   322: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   323: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   324: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   325: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   326: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   327: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   328: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   329: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   330: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   331: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   332: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   333: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   334: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   335: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   336: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   337: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   338: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   339: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   340: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   341: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   342: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   343: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   344: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   345: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   346: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
