   355: H    ==> opls_146            HA     <=== 	Good
   356: C    ==> opls_145            CA     <=== 	Good
   357: H    ==> opls_146            HA     <=== 	Good
   358: C    ==> opls_145            CA     <=== 	Good
   359: H    ==> opls_146            HA     <=== 	Good
   360: H    ==> opls_146            HA     <=== 	Good
   361: O    ==> opls_180            OS     <=== 	Good
   362: C    ==> opls_182            CT     <=== 	Good
   363: C    ==> opls_158            CT     <=== 	Good
   364: H    ==> opls_185            HC     <=== 	Good
   365: H    ==> opls_185            HC     <=== 	Good
   366: O    ==> opls_154            OH     <=== 	Good
   367: C    ==> opls_135            CT     <=== 	Good
   368: H    ==> opls_140            HC     <=== 	Good
   369: H    ==> opls_140            HC     <=== 	Good
   370: H    ==> opls_140            HC     <=== 	Good
   371: H    ==> opls_140            HC     <=== 	Good
   372: H    ==> opls_140            HC     <=== 	Good
   373: H    ==> opls_140            HC     <=== 	Good
   374: H    ==> opls_140            HC     <=== 	Good
   375: H    ==> opls_155            HO     <=== 	Good
   376: H    ==> opls_155            HO     <=== 	Goo
   377: H    ==> opls_140            HC     <=== 	Good
   378: C    ==> opls_135            CT     <=== 	Good
   379: O    ==> opls_154            OH     <=== 	Good
   380: C    ==> opls_158            CT     <=== 	Good
   381: H    ==> opls_140            HC     <=== 	Good
   382: C    ==> opls_182            CT     <=== 	Good
   383: H    ==> opls_140            HC     <=== 	Good
   384: O    ==> opls_180            OS     <=== 	Good
   385: H    ==> opls_185            HC     <=== 	Good
   386: H    ==> opls_185            HC     <=== 	Good
   387: C    ==> opls_145            CA     <=== 	Good
   388: C    ==> opls_145            CA     <=== 	Good
   389: C    ==> opls_145            CA     <=== 	Good
   390: C    ==> opls_145            CA     <=== 	Good
   391: H    ==> opls_146            HA     <=== 	Good
   392: C    ==> opls_145            CA     <=== 	Good
   393: H    ==> opls_146            HA     <=== 	Good
   394: C    ==> opls_145            CA     <=== 	Good
   395: H    ==> opls_146            HA     <=== 	Good
   396: H    ==> opls_146            HA     <=== 	Good
   397: C    ==> opls_149            CT     <=== 	Good
   398: C    ==> opls_145            CA     <=== 	Good
   399: C    ==> opls_145            CA     <=== 	Good
   400: C    ==> opls_145            CA     <=== 	Good
   401: C    ==> opls_145            CA     <=== 	Good
   402: H    ==> opls_146            HA     <=== 	Good
   403: C    ==> opls_145            CA     <=== 	Good
   404: H    ==> opls_146            HA     <=== 	Good
   405: C    ==> opls_145            CA     <=== 	Good
   406: H    ==> opls_146            HA     <=== 	Good
   407: H    ==> opls_146            HA     <=== 	Good
   408: O    ==> opls_180            OS     <=== 	Good
   409: C    ==> opls_182            CT     <=== 	Good
   410: C    ==> opls_158            CT     <=== 	Good
   411: H    ==> opls_185            HC     <=== 	Good
   412: H    ==> opls_185            HC     <=== 	Good
   413: O    ==> opls_154            OH     <=== 	Good
   414: C    ==> opls_135            CT     <=== 	Good
   415: H    ==> opls_140            HC     <=== 	Good
   416: H    ==> opls_140            HC     <=== 	Good
   417: H    ==> opls_140            HC     <=== 	Good
   418: H    ==> opls_140            HC     <=== 	Good
   419: H    ==> opls_140            HC     <=== 	Good
   420: H    ==> opls_140            HC     <=== 	Good
   421: H    ==> opls_140            HC     <=== 	Good
   422: H    ==> opls_155            HO     <=== 	Good
   423: H    ==> opls_155            HO     <=== 	Goo
   424: H    ==> opls_140            HC     <=== 	Good
   425: C    ==> opls_135            CT     <=== 	Good
   426: O    ==> opls_154            OH     <=== 	Good
   427: C    ==> opls_158            CT     <=== 	Good
   428: H    ==> opls_140            HC     <=== 	Good
   429: C    ==> opls_182            CT     <=== 	Good
   430: H    ==> opls_140            HC     <=== 	Good
   431: O    ==> opls_180            OS     <=== 	Good
   432: H    ==> opls_185            HC     <=== 	Good
   433: H    ==> opls_185            HC     <=== 	Good
   434: C    ==> opls_145            CA     <=== 	Good
   435: C    ==> opls_145            CA     <=== 	Good
   436: C    ==> opls_145            CA     <=== 	Good
   437: C    ==> opls_145            CA     <=== 	Good
   438: H    ==> opls_146            HA     <=== 	Good
   439: C    ==> opls_145            CA     <=== 	Good
   440: H    ==> opls_146            HA     <=== 	Good
   441: C    ==> opls_145            CA     <=== 	Good
   442: H    ==> opls_146            HA     <=== 	Good
   443: H    ==> opls_146            HA     <=== 	Good
   444: C    ==> opls_149            CT     <=== 	Good
   445: C    ==> opls_145            CA     <=== 	Good
   446: C    ==> opls_145            CA     <=== 	Good
   447: C    ==> opls_145            CA     <=== 	Good
   448: C    ==> opls_145            CA     <=== 	Good
   449: H    ==> opls_146            HA     <=== 	Good
   450: C    ==> opls_145            CA     <=== 	Good
   451: H    ==> opls_146            HA     <=== 	Good
   452: C    ==> opls_145            CA     <=== 	Good
   453: H    ==> opls_146            HA     <=== 	Good
   454: H    ==> opls_146            HA     <=== 	Good
   455: O    ==> opls_180            OS     <=== 	Good
   456: C    ==> opls_182            CT     <=== 	Good
   457: C    ==> opls_158            CT     <=== 	Good
   458: H    ==> opls_185            HC     <=== 	Good
   459: H    ==> opls_185            HC     <=== 	Good
   460: O    ==> opls_154            OH     <=== 	Good
   461: C    ==> opls_135            CT     <=== 	Good
   462: H    ==> opls_140            HC     <=== 	Good
   463: H    ==> opls_140            HC     <=== 	Good
   464: H    ==> opls_140            HC     <=== 	Good
   465: H    ==> opls_140            HC     <=== 	Good
   466: H    ==> opls_140            HC     <=== 	Good
   467: H    ==> opls_140            HC     <=== 	Good
   468: H    ==> opls_140            HC     <=== 	Good
   469: H    ==> opls_155            HO     <=== 	Good
   470: H    ==> opls_155            HO     <=== 	Goo
   471: H    ==> opls_140            HC     <=== 	Good
   472: C    ==> opls_135            CT     <=== 	Good
   473: O    ==> opls_154            OH     <=== 	Good
   474: C    ==> opls_158            CT     <=== 	Good
   475: H    ==> opls_140            HC     <=== 	Good
   476: C    ==> opls_182            CT     <=== 	Good
   477: H    ==> opls_140            HC     <=== 	Good
   478: O    ==> opls_180            OS     <=== 	Good
   479: H    ==> opls_185            HC     <=== 	Good
   480: H    ==> opls_185            HC     <=== 	Good
   481: C    ==> opls_145            CA     <=== 	Good
   482: C    ==> opls_145            CA     <=== 	Good
   483: C    ==> opls_145            CA     <=== 	Good
   484: C    ==> opls_145            CA     <=== 	Good
   485: H    ==> opls_146            HA     <=== 	Good
   486: C    ==> opls_145            CA     <=== 	Good
   487: H    ==> opls_146            HA     <=== 	Good
   488: C    ==> opls_145            CA     <=== 	Good
   489: H    ==> opls_146            HA     <=== 	Good
   490: H    ==> opls_146            HA     <=== 	Good
   491: C    ==> opls_149            CT     <=== 	Good
   492: C    ==> opls_145            CA     <=== 	Good
   493: C    ==> opls_145            CA     <=== 	Good
   494: C    ==> opls_145            CA     <=== 	Good
   495: C    ==> opls_145            CA     <=== 	Good
   496: H    ==> opls_146            HA     <=== 	Good
   497: C    ==> opls_145            CA     <=== 	Good
   498: H    ==> opls_146            HA     <=== 	Good
   499: C    ==> opls_145            CA     <=== 	Good
